date,time,air_temperature_C,wind_speed_m_s,soil_temperature_C,soil_moisture_percent
04-01-24,03:00:00,8.36,3.27,9.01,27.43
04-01-24,04:00:00,7.49,3.63,6.87,27.39
04-01-24,05:00:00,5.56,6.88,8.85,27.35
04-01-24,06:00:00,2.53,3.39,9.27,27.31
04-01-24,07:00:00,7.09,4.82,6.49,27.27
04-01-24,08:00:00,3.17,3.71,7.17,27.24
04-01-24,09:00:00,6.13,3.26,6.91,27.21
04-01-24,10:00:00,5.26,5.07,8.41,27.17
04-01-24,11:00:00,5.32,10.54,7.57,27.12
04-01-24,12:00:00,4.18,3.91,5.96,27.08
04-01-24,13:00:00,5.9,3.31,10.76,27.05
04-01-24,14:00:00,9.06,5.66,6.94,27.01
04-01-24,15:00:00,10.67,6.22,7.34,26.97
04-01-24,16:00:00,9.17,4.04,8.99,26.93
04-01-24,17:00:00,7.94,4.51,8.98,26.89
04-01-24,18:00:00,6.6,4.14,6.62,26.86
04-01-24,19:00:00,8.74,6.32,7.71,26.82
04-01-24,20:00:00,15.6,3.18,8.22,26.78
04-01-24,21:00:00,12.03,4.93,8.06,26.74
04-01-24,22:00:00,10.97,4.81,7.82,26.7
04-01-24,23:00:00,8.4,6.59,8.57,26.66
05-01-24,00:00:00,8.39,3.67,5.57,33.38
05-01-24,01:00:00,9.31,4.44,7.87,33.28
05-01-24,02:00:00,7.52,3.72,8.14,33.18
05-01-24,03:00:00,7.5,5.04,8.39,33.09
05-01-24,04:00:00,7.74,3.85,7.18,32.99
05-01-24,05:00:00,7.73,5.21,6.63,32.89
05-01-24,06:00:00,5.97,3.99,7.74,32.8
05-01-24,07:00:00,4.53,4.4,7.02,32.71
05-01-24,08:00:00,7.24,5.84,8.69,32.61
05-01-24,09:00:00,7.33,7.71,7.72,32.51
05-01-24,10:00:00,3.06,3.96,9.43,32.42
05-01-24,11:00:00,8.95,5.77,8.97,32.33
05-01-24,12:00:00,5.59,4.71,7.37,32.24
05-01-24,13:00:00,1.4,3.79,8.46,32.16
05-01-24,14:00:00,5.7,9.03,7.28,32.06
05-01-24,15:00:00,9.82,4.58,7,31.97
05-01-24,16:00:00,8.09,4.53,10.45,31.88
05-01-24,17:00:00,11.96,4.18,7.57,31.79
05-01-24,18:00:00,8.95,5.01,7.81,31.71
05-01-24,19:00:00,12,3.58,8.16,31.62
05-01-24,20:00:00,14.01,3.31,7.85,31.54
05-01-24,21:00:00,16.37,3.15,8.87,31.45
05-01-24,22:00:00,11.61,3.44,8.25,31.37
05-01-24,23:00:00,6.91,4.23,8.43,31.29
06-01-24,00:00:00,11.19,4.7,7.76,31.21
06-01-24,01:00:00,7.1,3.6,7.91,31.13
06-01-24,02:00:00,8.47,6.54,5.57,31.05
06-01-24,03:00:00,5.65,3.82,7.74,30.98
06-01-24,04:00:00,5.1,3.56,9.68,30.9
06-01-24,05:00:00,-0.22,3.31,6.45,30.84
06-01-24,06:00:00,8.29,4.79,10.54,30.76
06-01-24,07:00:00,4.98,6.52,6.71,30.68
06-01-24,08:00:00,4.03,5.18,6.35,30.61
06-01-24,09:00:00,2.11,4.73,7.92,30.54
06-01-24,10:00:00,4.69,4.43,7.35,30.47
06-01-24,11:00:00,4.63,3.7,7.03,30.41
06-01-24,12:00:00,5.53,3.75,8.37,30.34
06-01-24,13:00:00,10.23,4.13,8.17,30.27
06-01-24,14:00:00,5.56,4.04,6.76,30.2
06-01-24,15:00:00,10.59,4.88,6.55,30.13
06-01-24,16:00:00,9.12,3.37,8.03,30.07
06-01-24,17:00:00,7.14,5.22,8.35,30
06-01-24,18:00:00,12.72,4.29,8.37,29.93
06-01-24,19:00:00,11.03,4.14,8.13,29.86
06-01-24,20:00:00,9.7,4.88,6.7,29.79
06-01-24,21:00:00,8.07,4.4,8.26,29.73
06-01-24,22:00:00,9.26,3.98,8.08,29.66
06-01-24,23:00:00,8.86,6.12,7.22,29.59
07-01-24,00:00:00,9.84,5.5,6.79,29.53
07-01-24,01:00:00,6.02,5.54,5.61,29.46
07-01-24,02:00:00,10.48,4.61,7.32,29.4
07-01-24,03:00:00,10.56,6.33,5.9,29.33
07-01-24,04:00:00,5.51,3.19,5.98,29.28
07-01-24,05:00:00,6.97,4.33,8.39,29.22
07-01-24,06:00:00,4.44,4.21,8.39,29.17
07-01-24,07:00:00,0.25,6.03,6.55,29.11
07-01-24,08:00:00,5.84,4.4,8.59,29.05
07-01-24,09:00:00,6.04,4.64,6.88,29
07-01-24,10:00:00,6.77,4.2,7.54,28.94
07-01-24,11:00:00,4.64,5.65,8.11,28.88
07-01-24,12:00:00,7.27,6.1,7.95,28.83
07-01-24,13:00:00,3.19,3.86,8.07,28.78
07-01-24,14:00:00,7.68,4.09,5.78,28.72
07-01-24,15:00:00,8.02,4.29,7.04,28.67
07-01-24,16:00:00,10.36,4.22,8.26,28.61
07-01-24,17:00:00,7.82,4.59,5.81,28.56
07-01-24,18:00:00,9.92,3.57,5.75,28.51
07-01-24,19:00:00,9.51,4.61,8.44,28.46
07-01-24,20:00:00,9.67,3.19,8.21,28.41
07-01-24,21:00:00,9.43,3.61,7.1,28.36
07-01-24,22:00:00,10.65,6.14,6.02,28.3
07-01-24,23:00:00,11.55,4.88,7.46,28.25
08-01-24,00:00:00,5.63,6.32,6.13,28.2
08-01-24,01:00:00,10.07,5.85,8.26,28.14
08-01-24,02:00:00,4.55,3.75,7.45,28.1
08-01-24,03:00:00,6.9,3.91,7.91,28.05
08-01-24,04:00:00,7.02,4.48,7.55,28.01
08-01-24,05:00:00,8.48,3.98,8.12,27.96
08-01-24,06:00:00,4.27,4.98,7.53,27.92
08-01-24,07:00:00,3.88,6.89,7.92,27.87
08-01-24,08:00:00,7.34,3.34,7.59,27.83
08-01-24,09:00:00,1.88,3.79,7.19,27.79
08-01-24,10:00:00,1.45,3.09,6.84,27.75
08-01-24,11:00:00,9.45,3.71,8.08,27.71
08-01-24,12:00:00,4.73,3.17,6.49,27.67
08-01-24,13:00:00,5.51,3.42,5.88,27.63
08-01-24,14:00:00,7.92,4.12,7.41,27.59
08-01-24,15:00:00,7.39,6.54,7.29,27.54
08-01-24,16:00:00,7.14,3.46,8.85,27.51
08-01-24,17:00:00,7.16,3.94,9.15,27.47
08-01-24,18:00:00,10.5,4.35,6.6,27.42
08-01-24,19:00:00,5.55,5.56,6.32,27.38
08-01-24,20:00:00,11.3,4.74,8.57,27.34
08-01-24,21:00:00,12.01,4.25,8.22,27.29
08-01-24,22:00:00,7.57,3.14,8.02,27.26
08-01-24,23:00:00,6.06,4,6.81,27.22
09-01-24,00:00:00,6,6.11,6.64,27.18
09-01-24,01:00:00,6.52,4.6,7.68,27.14
09-01-24,02:00:00,4.59,4.57,6.25,27.11
09-01-24,03:00:00,3.71,3.74,5.08,27.08
09-01-24,04:00:00,8.75,3.6,6.42,27.04
09-01-24,05:00:00,2.72,3.65,6.55,27.01
09-01-24,06:00:00,4.77,5.55,6.41,26.97
09-01-24,07:00:00,3.52,5.95,5.83,26.94
09-01-24,08:00:00,5.36,3.39,4.98,26.91
09-01-24,09:00:00,4.64,4.25,6.32,26.87
09-01-24,10:00:00,9.08,3.82,6.98,26.84
09-01-24,11:00:00,5.14,4.05,6.62,26.81
09-01-24,12:00:00,9.48,3.78,5.11,26.78
09-01-24,13:00:00,4.36,5.58,8.21,26.74
09-01-24,14:00:00,3.02,3.55,7.12,26.71
09-01-24,15:00:00,7.46,3.7,5.85,26.68
09-01-24,16:00:00,8.22,4.19,6.77,26.65
09-01-24,17:00:00,10,4.4,7.37,26.62
09-01-24,18:00:00,11.17,4.2,7.67,26.58
09-01-24,19:00:00,7.15,4.5,7.87,26.55
09-01-24,20:00:00,10.68,4.43,8.69,26.51
09-01-24,21:00:00,11.99,6.93,6.92,26.47
09-01-24,22:00:00,11.12,8.56,6.7,26.42
09-01-24,23:00:00,9.71,5.19,8.02,26.39
10-01-24,00:00:00,12.05,4.27,6.19,26.36
10-01-24,01:00:00,10.55,5.15,8.54,26.32
10-01-24,02:00:00,6.4,6.61,7.83,26.29
10-01-24,03:00:00,8.52,4.46,8.72,26.26
10-01-24,04:00:00,1.9,5.2,7.61,26.23
10-01-24,05:00:00,6.49,3.73,10.93,26.2
10-01-24,06:00:00,7.38,4.55,9.85,26.18
10-01-24,07:00:00,4.95,5.94,6.08,26.15
10-01-24,08:00:00,4.22,4.19,6.36,26.12
10-01-24,09:00:00,1.09,4.02,7.03,26.1
10-01-24,10:00:00,2.14,5.61,6.29,26.07
10-01-24,11:00:00,7.27,4.89,7.05,26.04
10-01-24,12:00:00,5.77,3.47,7.6,26.02
10-01-24,13:00:00,5.87,5.95,7.4,25.99
10-01-24,14:00:00,2.76,4.17,8.93,25.97
10-01-24,15:00:00,5.12,3.73,7.54,25.95
10-01-24,16:00:00,10.95,5.84,6.33,25.92
10-01-24,17:00:00,14.48,6.22,7.09,25.88
10-01-24,18:00:00,12.18,5.02,9.49,25.85
10-01-24,19:00:00,12.17,3.65,10.22,25.82
10-01-24,20:00:00,10.31,5.34,8.23,25.79
10-01-24,21:00:00,10.02,4.75,6.5,25.77
10-01-24,22:00:00,11.57,4.17,8.83,25.74
10-01-24,23:00:00,11.71,4.07,6.77,25.71
11-01-24,00:00:00,7.53,4.08,7.07,25.69
11-01-24,01:00:00,7.79,3.71,5.82,25.67
11-01-24,02:00:00,6.81,5.24,8.03,25.65
11-01-24,03:00:00,7.42,4.13,8.59,25.62
11-01-24,04:00:00,5.1,4.25,8.59,25.6
11-01-24,05:00:00,5.41,7.84,7.56,25.57
11-01-24,06:00:00,2.84,7.96,6.89,25.55
11-01-24,07:00:00,2.94,4.21,8.04,25.53
11-01-24,08:00:00,-0.56,4.83,6.94,25.51
11-01-24,09:00:00,4.96,3.75,5.82,25.49
11-01-24,10:00:00,7.46,5.11,8.72,25.47
11-01-24,11:00:00,3.25,4.16,5.4,25.45
11-01-24,12:00:00,5.01,4,7.64,25.43
11-01-24,13:00:00,6.03,3.9,6,25.42
11-01-24,14:00:00,6.42,4.83,6.47,25.4
11-01-24,15:00:00,5.15,3.71,7.04,25.38
11-01-24,16:00:00,12.42,7.03,7.16,25.35
11-01-24,17:00:00,9.03,4.06,6.51,25.33
11-01-24,18:00:00,6.53,3.85,7.82,25.31
11-01-24,19:00:00,10.85,3.77,5.8,25.29
11-01-24,20:00:00,8.64,6.48,9.05,25.27
11-01-24,21:00:00,12.17,3.35,6.86,25.25
11-01-24,22:00:00,9.69,6.13,8.27,25.22
11-01-24,23:00:00,11.28,3.5,8.29,25.2
12-01-24,00:00:00,9.95,3.37,6.29,25.19
12-01-24,01:00:00,4.72,4,7.34,25.17
12-01-24,02:00:00,6.49,5.46,5.57,25.15
12-01-24,03:00:00,7.16,4.85,9.18,25.13
12-01-24,04:00:00,5.49,4.92,7.6,25.12
12-01-24,05:00:00,5.4,4.76,5.97,25.1
12-01-24,06:00:00,3.3,3.68,5,25.09
12-01-24,07:00:00,2.99,3.49,7.59,25.08
12-01-24,08:00:00,4.61,3.41,8.24,25.07
12-01-24,09:00:00,2.86,3.13,8.15,25.06
12-01-24,10:00:00,5.2,6.13,7.73,25.04
12-01-24,11:00:00,4.79,3.26,7.03,25.03
12-01-24,12:00:00,3.53,4.73,5.91,25.01
12-01-24,13:00:00,7.08,3.63,6.15,25
12-01-24,14:00:00,6.95,3.26,7.17,24.99
12-01-24,15:00:00,7.59,4.19,6.06,24.97
12-01-24,16:00:00,8.27,3.35,7.13,24.96
12-01-24,17:00:00,9.03,3.93,7.22,24.95
12-01-24,18:00:00,5.88,4.16,6.69,24.93
12-01-24,19:00:00,9.96,5.82,6.11,24.91
12-01-24,20:00:00,9.95,4.79,6.48,24.89
12-01-24,21:00:00,7.92,3.45,6.86,24.88
12-01-24,22:00:00,12,5.3,5.95,24.86
12-01-24,23:00:00,10.2,3.64,7.63,24.84
13-01-24,00:00:00,8.51,4.31,5.92,24.83
13-01-24,01:00:00,7.01,4.42,6.84,24.82
13-01-24,02:00:00,7.6,5.28,7.12,24.8
13-01-24,03:00:00,7.99,3.83,6.85,24.79
13-01-24,04:00:00,2.91,5.32,7.15,24.77
13-01-24,05:00:00,5.05,3.11,6.68,24.77
13-01-24,06:00:00,2.05,4.04,5.82,24.76
13-01-24,07:00:00,3.31,3.12,7.04,24.75
13-01-24,08:00:00,-1.6,4.38,6.57,24.74
13-01-24,09:00:00,5.76,3.41,7.47,24.73
13-01-24,10:00:00,1.78,5.35,7.06,24.72
13-01-24,11:00:00,3.26,3.3,4.77,24.71
13-01-24,12:00:00,4.59,4.5,6.49,24.7
13-01-24,13:00:00,5.41,4.15,6,24.69
13-01-24,14:00:00,4.53,5.26,6.35,24.68
13-01-24,15:00:00,7.83,3.93,6.04,24.66
13-01-24,16:00:00,9.81,3.38,4.81,24.65
13-01-24,17:00:00,5.42,4.27,5.75,24.64
13-01-24,18:00:00,10.07,4.26,6.46,24.63
13-01-24,19:00:00,4.98,3.17,6.95,24.62
13-01-24,20:00:00,8.75,4.11,5.23,24.61
13-01-24,21:00:00,8.81,4.01,6.45,24.6
13-01-24,22:00:00,5.29,4.98,5.17,24.59
13-01-24,23:00:00,11.7,3.89,5.95,24.57
14-01-24,00:00:00,6.3,3.54,6.68,24.57
14-01-24,01:00:00,3.31,3.53,4.81,24.56
14-01-24,02:00:00,5.98,5.27,5.89,24.55
14-01-24,03:00:00,5.15,5.95,5.19,24.53
14-01-24,04:00:00,3.83,3.72,5.81,24.53
14-01-24,05:00:00,2.03,4.25,5.79,24.52
14-01-24,06:00:00,4.3,3.57,5.16,24.51
14-01-24,07:00:00,2.3,3.64,5.81,24.51
14-01-24,08:00:00,3.72,3.43,4.59,24.5
14-01-24,09:00:00,5.43,4.12,6.34,24.49
14-01-24,10:00:00,4.01,3.82,5.27,24.49
14-01-24,11:00:00,3.95,3.19,5.97,24.48
14-01-24,12:00:00,8.71,3.46,5.76,24.47
14-01-24,13:00:00,8.02,6.81,4.48,24.46
14-01-24,14:00:00,8.56,4.22,5.75,24.45
14-01-24,15:00:00,7.31,4.56,5.71,24.43
14-01-24,16:00:00,8.56,3.47,6.44,24.43
14-01-24,17:00:00,9.49,7.25,6.09,24.41
14-01-24,18:00:00,9.37,6.65,6.81,24.39
14-01-24,19:00:00,7.9,6.74,7.55,24.37
14-01-24,20:00:00,8.65,5.19,5.18,24.36
14-01-24,21:00:00,7.9,3.76,7.12,24.35
14-01-24,22:00:00,9.48,3.64,6.44,24.34
14-01-24,23:00:00,8.95,4.05,5.01,24.33
15-01-24,00:00:00,8.16,5.55,7.1,24.32
15-01-24,01:00:00,6.79,4.5,6.89,24.31
15-01-24,02:00:00,8.81,4.64,5.63,24.3
15-01-24,03:00:00,3.2,4.01,6.27,24.29
15-01-24,04:00:00,4.46,5.96,4.09,24.28
15-01-24,05:00:00,1.42,4.65,7.33,24.28
15-01-24,06:00:00,1.33,5.12,8.12,24.27
15-01-24,07:00:00,5.22,4.86,6.15,24.26
15-01-24,08:00:00,2.5,3.31,6.5,24.26
15-01-24,09:00:00,5.99,3.22,7.23,24.26
15-01-24,10:00:00,6.04,4.14,6.75,24.25
15-01-24,11:00:00,7.22,3.84,6.38,24.24
15-01-24,12:00:00,3.84,5.09,6.92,24.24
15-01-24,13:00:00,6.54,4.75,6.77,24.23
15-01-24,14:00:00,6.21,3.7,8.14,24.22
15-01-24,15:00:00,6.5,5.37,6.09,24.21
15-01-24,16:00:00,6.69,4.8,5.59,24.2
15-01-24,17:00:00,6.63,3.14,4.94,24.2
15-01-24,18:00:00,8.93,3.17,5.33,24.2
15-01-24,19:00:00,9.67,5.88,6.68,24.18
15-01-24,20:00:00,12.74,4.12,7.36,24.17
15-01-24,21:00:00,9.1,4.82,7.88,24.16
15-01-24,22:00:00,9.53,4.41,7.7,24.15
15-01-24,23:00:00,9.62,3.88,7.26,24.14
16-01-24,00:00:00,5.37,5.06,6.47,24.14
16-01-24,01:00:00,2.92,4.1,5.9,24.13
16-01-24,02:00:00,5.01,4,6.94,24.13
16-01-24,03:00:00,4.21,4.29,7.18,24.12
16-01-24,04:00:00,0.23,4.38,6.72,24.12
16-01-24,05:00:00,3.97,3.59,6.14,24.12
16-01-24,06:00:00,2.51,4.66,4.86,24.11
16-01-24,07:00:00,4.01,6.69,4.42,24.1
16-01-24,08:00:00,1.21,8.37,5.9,24.09
16-01-24,09:00:00,2.56,6.4,5.97,24.08
16-01-24,10:00:00,-0.57,4.21,3.83,24.07
16-01-24,11:00:00,3.5,5.18,8.01,24.07
16-01-24,12:00:00,6.26,3.75,5.21,24.06
16-01-24,13:00:00,4.28,8.51,3.85,24.05
16-01-24,14:00:00,5.49,6.11,6.01,24.04
16-01-24,15:00:00,6.59,4.59,5.88,24.03
16-01-24,16:00:00,7.99,7.05,5.57,24.02
16-01-24,17:00:00,6.92,7.48,6.14,24
16-01-24,18:00:00,9.03,3.24,7.27,24
16-01-24,19:00:00,6.04,3.97,6.47,24
16-01-24,20:00:00,8.05,4.48,5.72,23.99
16-01-24,21:00:00,6.45,4.73,4.83,23.98
16-01-24,22:00:00,10.43,4.45,4.76,23.97
16-01-24,23:00:00,6.42,3.86,5.66,23.97
17-01-24,00:00:00,8.37,5.14,4.47,23.96
17-01-24,01:00:00,6.41,3.54,4,23.96
17-01-24,02:00:00,6.07,5.32,7.07,23.96
17-01-24,03:00:00,-1.77,3.57,6,23.96
17-01-24,04:00:00,7.76,4.4,4.91,23.95
17-01-24,05:00:00,2.58,4.41,6.44,23.95
17-01-24,06:00:00,5.62,4.87,6.33,23.94
17-01-24,07:00:00,2.81,4.7,6.51,23.94
17-01-24,08:00:00,1.07,5.03,5.36,23.93
17-01-24,09:00:00,1.81,3.49,6.96,23.93
17-01-24,10:00:00,4.27,3.15,6.64,23.94
17-01-24,11:00:00,3.46,4.72,6.56,23.93
17-01-24,12:00:00,1.1,3.35,6.55,23.93
17-01-24,13:00:00,4.79,4.04,5.6,23.93
17-01-24,14:00:00,6.12,4.32,6.02,23.93
17-01-24,15:00:00,6.1,3.24,5.5,23.93
17-01-24,16:00:00,8.54,3.81,6.46,23.92
17-01-24,17:00:00,10.06,5.02,5.76,23.91
17-01-24,18:00:00,7.05,5.72,6.93,23.91
17-01-24,19:00:00,5.22,4.77,6.91,23.9
17-01-24,20:00:00,10.64,3.12,5.77,23.9
17-01-24,21:00:00,7.95,5.1,4.92,23.89
17-01-24,22:00:00,9.78,4.41,4.89,23.88
17-01-24,23:00:00,5.73,5.19,4.07,23.88
18-01-24,00:00:00,7.93,3.25,6.83,23.88
18-01-24,01:00:00,6.89,5.17,6.4,23.87
18-01-24,02:00:00,6.06,5.67,5.23,23.86
18-01-24,03:00:00,8.87,9.25,6.56,23.84
18-01-24,04:00:00,7.05,4.26,5.96,23.84
18-01-24,05:00:00,1.49,4.87,5.99,23.84
18-01-24,06:00:00,4.17,3.86,7.49,23.84
18-01-24,07:00:00,2.82,5.71,5.26,23.83
18-01-24,08:00:00,1.47,3.95,6.29,23.83
18-01-24,09:00:00,-0.25,3.85,6.32,23.83
18-01-24,10:00:00,3.32,3.46,7.34,23.83
18-01-24,11:00:00,2.27,4.27,5.54,23.83
18-01-24,12:00:00,1.91,5.93,5.42,23.83
18-01-24,13:00:00,6.76,4.94,6.06,23.82
18-01-24,14:00:00,6.21,4.1,7.05,23.82
18-01-24,15:00:00,6.5,5.13,7.01,23.81
18-01-24,16:00:00,5.16,3.83,5.46,23.81
18-01-24,17:00:00,7.67,6.05,4.76,23.81
18-01-24,18:00:00,5.05,5.7,6.37,23.8
18-01-24,19:00:00,7.78,4,5.86,23.8
18-01-24,20:00:00,9.4,3.75,3.98,23.79
18-01-24,21:00:00,10.08,3.66,5.73,23.79
18-01-24,22:00:00,5.53,4.53,6.96,23.79
18-01-24,23:00:00,5.11,5.73,5.76,23.78
19-01-24,00:00:00,7.38,6.35,5.31,23.77
19-01-24,01:00:00,6.16,3.62,7.45,23.77
19-01-24,02:00:00,6.62,3.52,4.88,23.77
19-01-24,03:00:00,6.01,3.89,4.79,23.77
19-01-24,04:00:00,3.89,5.43,4.78,23.77
19-01-24,05:00:00,2.7,5.39,5.06,23.77
19-01-24,06:00:00,4.8,4.04,5.25,23.77
19-01-24,07:00:00,2.65,4.51,4.9,23.76
19-01-24,08:00:00,-1.08,3.28,4.98,23.77
19-01-24,09:00:00,-0.28,4.12,6.83,23.77
19-01-24,10:00:00,4.34,4.86,5.54,23.77
19-01-24,11:00:00,4.6,3.47,6.11,23.77
19-01-24,12:00:00,5.96,6.91,4.83,23.76
19-01-24,13:00:00,5.83,4.85,6.71,23.75
19-01-24,14:00:00,7.65,3.58,5.07,23.75
19-01-24,15:00:00,5.11,3.56,4.55,23.76
19-01-24,16:00:00,5.4,4.79,6.03,23.75
19-01-24,17:00:00,8.92,4.52,4.08,23.75
19-01-24,18:00:00,6.79,5.05,5.87,23.74
19-01-24,19:00:00,6.37,10.13,5.73,23.72
19-01-24,20:00:00,8.21,3.7,5.27,23.72
19-01-24,21:00:00,6.14,3.41,4.38,23.72
19-01-24,22:00:00,6.31,5.81,8.35,23.72
19-01-24,23:00:00,4.12,3.15,5.24,23.72
20-01-24,00:00:00,5.42,3.81,4.66,23.72
20-01-24,01:00:00,4.5,4.1,5.54,23.72
20-01-24,02:00:00,4.95,5.65,5.54,23.72
20-01-24,03:00:00,3.24,5.53,5.96,23.72
20-01-24,04:00:00,3.78,5.85,4.28,23.71
20-01-24,05:00:00,2.91,3.76,7.36,23.71
20-01-24,06:00:00,0.64,4.13,3.72,23.71
20-01-24,07:00:00,2.92,7.9,5.47,23.7
20-01-24,08:00:00,-0.92,6.44,6.63,23.7
20-01-24,09:00:00,3.48,6.06,4.64,23.69
20-01-24,10:00:00,3.8,4.07,5.22,23.69
20-01-24,11:00:00,2.33,4.07,6.06,23.69
20-01-24,12:00:00,7.69,4.57,5.95,23.69
20-01-24,13:00:00,5.63,3.99,3.95,23.69
20-01-24,14:00:00,10.43,5.07,5.23,23.68
20-01-24,15:00:00,7.87,4.71,4,23.68
20-01-24,16:00:00,5.67,4.4,5.75,23.68
20-01-24,17:00:00,8.41,3.82,7.7,23.68
20-01-24,18:00:00,5.72,3.89,5.73,23.68
20-01-24,19:00:00,5.54,6.46,5.6,23.67
20-01-24,20:00:00,8.42,4.27,5.83,23.67
20-01-24,21:00:00,7.54,6.23,5.31,23.66
20-01-24,22:00:00,8.28,3.74,5.64,23.66
20-01-24,23:00:00,4.76,4.49,4.12,23.66
21-01-24,00:00:00,6.72,3.61,5.87,23.66
21-01-24,01:00:00,8.13,4.53,5.35,23.66
21-01-24,02:00:00,5.21,3.95,5.92,23.66
21-01-24,03:00:00,3.41,3.32,5.29,23.66
21-01-24,04:00:00,4.34,3.09,4.95,23.66
21-01-24,05:00:00,2.01,3.62,4.52,23.67
21-01-24,06:00:00,0.53,4.43,5.65,23.67
21-01-24,07:00:00,1.22,3.96,6.25,23.67
21-01-24,08:00:00,3.77,3.67,3.37,23.67
21-01-24,09:00:00,2.53,5.73,5.36,23.67
21-01-24,10:00:00,2.45,3.93,4.3,23.67
21-01-24,11:00:00,6.33,3.27,6.09,23.67
21-01-24,12:00:00,1.44,5.55,6.93,23.67
21-01-24,13:00:00,4.24,3.41,5,23.67
21-01-24,14:00:00,0.52,4.14,3.93,23.67
21-01-24,15:00:00,12.44,4.41,5.71,23.66
21-01-24,16:00:00,6.43,4.77,5.64,23.66
21-01-24,17:00:00,6.44,5.4,3.91,23.66
